Chapter,English,Japanese
2,take A for B,AをBだと思う（間違える）
2,depend on,〜に頼る、〜次第である
2,result in,〜という結果になる
2,result from,〜の結果として起こる
2,consist of,〜から成る
3,believe in,〜を信じる、〜の価値を信じる
3,belong to,〜に所属する、〜のものである
3,suffer from,〜（病気など）で苦しむ
3,depend on,〜に頼る、〜次第である
3,care for,〜の世話をする、〜を好む
3,consist of,〜から成る
3,deal with,〜を扱う、〜に対処する
3,agree with,〜（人・意見）に賛成する
3,graduate from,〜を卒業する
3,prepare for,〜の準備をする
3,succeed in,〜に成功する
3,search for,〜を探す
3,refer to,〜を参照する、〜に言及する
3,result in,〜という結果になる
3,result from,〜の結果として起こる
3,recover from,〜（病気など）から回復する
3,look for,〜を探す
3,look into,〜を調査する、〜の中を見る
3,look after,〜の世話をする
3,look through,〜に目を通す
3,bring about,〜を引き起こす
3,bring up,〜を育てる
4,get over,～を乗り越える、～から回復する
4,get along with,～と仲良くやっていく
4,take after,～に似ている
4,take over,～を引き継ぐ
4,take part in,～に参加する
4,take place,行われる、開催される
4,look after,～の世話をする
4,look forward to,～を楽しみに待つ
4,look into,～を調査する
4,look through,～に目を通す
4,break down,故障する
4,break out,（戦争などが）急に起こる
4,call for,～を必要とする、～を求める
4,call off,～を中止する
4,put off,～を延期する
4,put up with,～を我慢する
4,run out of,～を使い果たす
4,run over,（車が）～をひく
4,in the course of,〜のうちに
4,make friends with,〜と友達になる
4,reach out for,〜をとろうと手を伸ばす
4,on average,平均して
4,at the most,せいぜい、最大でも
4,call out,叫ぶ、声をかける
4,get lost,道に迷う
4,go wrong,物事がうまくいかない、機械が故障する
4,on purpose,わざと
4,in a sense,ある意味では
4,come out,出る、現れる
4,rely on,〜を信頼する、〜を頼る
4,stop by,〜に立ち寄る
4,so far,今までのところ、そこまでは
4,turn up,音量などを上げる
4,as well,同様に
4,by nature,生まれつき
4,head for,〜へ向かう
4,look up to,〜を尊敬する
4,make up for,〜の埋め合わせをする
4,at the beginning of,〜の始めに
4,burst into laughter,爆笑する、吹き出す
4,make out,理解する
4,with care,気をつけて、注意して
4,A as well as B,BだけでなくAも
4,That's none of your business,余計なお世話です
4,Do you mind if ...?,〜してもいいですか？
4,Take it easy,気楽にね
5,be in time for,〜に間に合う
5,be far from,決して〜ではない、〜から遠くに
5,be excited about,〜にわくわくする、〜を楽しみにしている
5,be made of,〜で作られる
5,be able to,〜することができる
5,take care of,〜の世話をする、面倒を見る
5,look after,〜の世話をする
5,look for,〜を探す
5,do one's best,最善を尽くす
5,fill out,〜を埋める、〜に記入する
5,stay up late,夜更かしをする
5,start with,〜で始まる、〜から始まる
5,stay in bed,寝ている
5,on schedule,予定通りの
5,on time,時間通りの
5,on sale,セール中で、特価で
5,sound like,〜のように聞こえる
5,come up to,〜にやってくる、〜に近づいてくる
5,make one's bed,ベッドを整える
5,at the sight of,〜を見て
5,no more than,〜だけ、〜にすぎない
5,no longer,もはや〜ではない
5,pay for,〜の費用を払う
5,lose weight,痩せる
5,sign up for,〜に申し込む
5,make sure that SV,SVするのを確かめる、必ずSVする
5,have a fever,熱がある
5,have a stomachache,お腹が痛い
5,get married,結婚する
5,had better,〜したほうがよい、〜するべきだ
5,might have pp,〜したのかもしれない
5,to be honest with you,正直なところ
5,to tell the truth,実のところ
5,when it comes to,〜のことになると
5,the first time SV,初めてSVしたとき
5,in that case,そういうことなら
5,let me check,確認してみます
5,right away,直ちに、すぐに
5,a friend of mine,私の友達の1人
5,on earth,一体全体
5,neither of,〜のどちらも〜ない
5,May I take your order?,ご注文はお決まりですか？
5,tell ... to,人に〜するように言う
5,would rather,むしろ〜したい
5,focus on,〜に焦点を合わせる、〜に集中する
5,rely on,〜に頼る
5,depend on,〜に頼る、〜次第である
5,insist on,〜を強く主張する、〜を言い張る
5,concentrate on,〜に集中する
5,congratulate A on B,AのBを祝う
5,believe in,〜（の存在・価値）を信じる
5,succeed in,〜に成功する
5,participate in,〜に参加する
5,result in,〜という結果になる
5,specialize in,〜を専門にする、〜を専攻する
5,differ from,〜と異なる
5,recover from,〜（病気など）から回復する
5,suffer from,〜（病気・飢えなど）で苦しむ
5,graduate from,〜を卒業する
5,result from,〜の結果として起こる
5,prevent A from B,AがBするのを妨げる
5,stop A from B,AがBするのを止める
5,keep A from B,AにBをさせない
5,belong to,〜に所属する、〜のものである
5,care for,〜の世話をする、〜を好む
5,consist of,〜から成る
5,deal with,〜を扱う、〜に対処する
5,agree with,〜（人・意見）に賛成する
5,prepare for,〜の準備をする
5,search for,〜を探す
5,refer to,〜を参照する、〜に言及する
6,be based on,〜に基づいている
6,be excited about,〜にわくわくしている
6,be known for,〜で知られている
6,be known as,〜として知られている
6,be filled with,〜で満たされている
6,be worried about,〜を心配している
6,be satisfied with,〜に満足している
6,be forced to,〜せざるを得ない
6,be absent from,〜を欠席している
6,be covered with,〜で覆われている
6,be similar to,〜に似ている
6,be tired of,〜に飽きている、〜にうんざりしている
6,be proud of,〜を誇りに思っている
6,be ashamed of,〜を恥じている
6,be aware of,〜に気づいている
6,be short of,〜が不足している
6,be used to,〜に慣れている
6,be fond of,〜を好んでいる
6,be responsible for,〜に責任がある
6,be characteristic of,〜に特有である
6,be independent of,〜から独立している
6,be unique to,〜に特有である
6,be curious about,〜に好奇心がある
6,be anxious about,〜を心配している
6,be anxious to,〜することを切望している
6,be essential to,〜に不可欠である
6,be fundamental to,〜に基本である、不可欠である
6,be suited to,〜に適している
6,as well as,〜と同様に、〜はもちろん
6,out of order,故障して
6,out of date,時代遅れの
6,out of sight,見えないところに
6,out of breath,息を切らして
6,out of the question,論外で、不可能で
6,all at once,突然
7,on and on,延々と、引き続き
7,on special,特価で
7,on purpose,故意に
7,on sale,販売されて、セール中で
7,on duty,勤務中で
7,on average,平均して
7,run out of,〜を使い果たす
7,run over,（車が）〜をひく
7,get through,〜を終える、〜を通り抜ける
7,get away with,〜を持ち逃げする、〜を（罰せられずに）うまくやる
7,take place,行われる、開催される
7,take part in,〜に参加する
7,make sense,意味をなす、道理にかなう
7,make sure,〜を確かめる
7,keep in touch with,〜と連絡を取り合う
7,keep an eye on,〜から目を離さない、〜を監視する
7,go through,〜を経験する、〜を通り抜ける
7,go off,（爆発物が）爆発する、（アラームが）鳴る
7,bring about,〜を引き起こす
7,bring up,〜を育てる、〜（話題など）を持ち出す
7,look after,〜の世話をする
7,look forward to,〜を楽しみに待つ
7,call off,〜を中止する
7,call for,〜を必要とする、〜を（大声で）求める
7,set up,〜を設立する、〜を準備する
7,set out,出発する、〜し始める
7,stand for,〜を表す、〜を象徴する
7,stand out,目立つ
7,put out,（火などを）消す
7,put up with,〜を我慢する
7,break down,故障する
7,break out,（戦争や火事などが）急に起こる
7,break into,〜に侵入する、押し入る
7,break up,解散する、別れる
7,come across,〜に偶然出会う
7,come about,起こる、生じる
7,come up with,〜を思いつく
7,come out,出版される、明らかになる
7,give up,〜を諦める、やめる
7,give in (to),（〜に）屈服する、負ける
7,give way (to),（〜に）道を譲る、屈する
7,give off,（光やにおいなどを）出す
7,get over,〜を乗り越える、回復する
7,get along (with),（〜と）仲良くやっていく
7,remind A of B,AにBを思いださせる
7,tell A from B,AをBと区別する
7,think of A as B,AをBとみなす
7,take A for B,AをBだと思う（間違える）
7,depend on,～に頼る、～しだいである
7,result in,～という結果になる
7,result from,～の結果として生じる
7,consist of,～から成る
7,believe in,～を信じる
7,belong to,～に所属している
8,be independent of,～から独立している
8,be unique to,～に特有である
8,be curious about,～に好奇心がある
8,be anxious about,～を心配している
8,be anxious to,～することを切望している
8,be essential to,～に不可欠である
8,be fundamental to,～に基本である、不可欠である
8,be suited to,～に適している
8,as well as,～と同様に、～はもちろん
8,out of order,故障して
8,out of date,時代遅れの
8,out of sight,見えないところに
8,out of breath,息を切らして
8,out of the question,論外で、不可能で
8,all at once,突然
8,on and on,延々と、引き続き
8,on special,特価で
8,on purpose,故意に
8,on sale,販売されて、セール中で
8,on duty,勤務中で
8,on average,平均して
8,on the whole,概して
8,on the contrary,それどころか、それに対して
8,on schedule,予定通りに
8,by accident,偶然に
8,by mistake,間違えて
8,by all means,ぜひとも、是非
8,by no means,決して～ない
8,by the way,ところで
8,by far,はるかに、ずっと
8,step by step,一歩一歩、着実に
8,little by little,少しずつ
8,for instance,例えば
8,for a while,しばらくの間
8,for the time being,当分の間
8,for certain,確かに
8,for free,無料で
8,for sale,売り出し中で
8,for sure,確実に
8,for short,略して
8,be excited about,〜にわくわくしている
8,be based on,〜に基づいている
8,be worried about,〜を心配している
8,be known as,〜として知られている
8,be known for,〜で知られている
8,be filled with,〜で満たされている
8,be forced to,〜せざるを得ない
8,be satisfied with,〜に満足している
9,in a hurry,急いで
9,in a row,連続で
9,in common,共通の
9,in person,本人が、直接会って
9,in public,人前で、公然と
9,in other words,言い換えれば
9,in general,一般に
9,in short,要するに
9,in advance,前もって
9,in time,間に合って
9,in vain,無駄に
9,in detail,詳細に
9,in fact,実際は
9,in effect,事実上、実施されて
9,in particular,特に
9,in contrast,対照的に
9,thanks to,〜のおかげで
9,because of,〜のせいで
9,in order to,〜するために
9,in front of,〜の前に、〜の前で
9,more than,〜より多い、〜以上
9,apart from,〜を除いて、〜は別として
9,by the end of,〜の終わりまでに
9,whether or not,〜であろうとなかろうと
9,above all,何よりもまず、とりわけ
9,a couple of,2、3の
9,none of,〜のうち1つも〜ない
9,according to,〜によると
9,instead of,〜の代わりに
9,due to,〜が原因で
9,get up,起きる
9,as ... as possible,できるだけ〜
9,would like ... to,人に〜してもらいたい
10,for the first time,初めて
10,at first,最初は
10,first of all,第一に、まず最初に
10,to begin with,まずはじめに
10,firstly,最初に
10,secondly,第二に
10,next,次に
10,in addition,その上に
10,what is more,その上に
10,in addition to,〜に加えて
10,furthermore,さらに、その上に
10,also,また
10,moreover,その上に、さらに
10,besides,その上に、さらに
10,for example,例えば
10,for instance,例えば
10,like,〜のような、〜のように
10,such as,例えば〜のような名詞
10,in other words,言い換えれば、つまり
10,on the other hand,もう一方で
10,in my opinion,私の意見としては
10,for these reasons,これらの理由から
10,in particular,特に
10,particularly,特に
10,especially,特に
10,however,しかながら、どんなに〜でも
10,therefore,それゆえ、したがって
10,finally,ついに、最後に
10,as a result of,〜の結果として
10,have to,〜しなければならない
10,must,〜しなければならない、〜に違いない
10,should,〜するべきだ、〜したほうがよい
10,need to,〜する必要がある
10,when S V,SVするとき
10,if S V,もしSVするならば
10,while S V,SVする一方で、SVする間
10,whereas S V,SVする一方で
10,because S V,SVするので
10,though S V,SVするけれども
10,before S V,SVする前に
10,After SV,SVした後に
10,I think that SV,私はSVすると思う
10,I don't think that SV,私はSVすると思わない
10,disagree,反対する
10,A is better than B,AはBよりもよい
10,It is better to ... than to ...,〜することは〜することよりよい
10,This is why SV,こういうわけでSVする、そういうわけでSVする
10,That's how SV,そのようにしてSVする
10,That's because SV,それはSVだからである
10,Even if SV,たとえSVしても
10,as far as I know,私の知っている限りでは
10,Shall I,私が〜しましょうか？
10,Can I ask you a question?,質問してもよろしいですか？
10,Can I help you with ...?,〜をお手伝いしましょうか？
11,package,包装する
11,hate,嫌う
11,suit,（服装などが）似合う
11,recommend,推薦する、勧める
11,specialize,専門とする、先行する
11,volunteer,ボランティアをする
11,announce,発表する、公表する
11,promote,促進する、昇進させる
11,relax,くつろぐ、くつろがせる
11,organize,組織する
11,shape,形作る
11,weigh,重さがある、重さを計る
11,serve,飲食物を出す、サービスする
11,appeal,訴える
11,cycle,自転車に乗る、循環する
11,review,復習する、よく調べる
11,occupy,占める、占領する
11,lack,欠いている、ない
11,sew,縫う
11,fasten,しっかり留める
11,reserve,予約する、取っておく
11,rent,借りる、貸す
11,accomplish,成し遂げる
11,scold,叱る
11,long,切望する
11,switch,スイッチを切り替える
11,amuse,楽しませる
11,bear,我慢する、産む
11,force,強要する
11,stick,突き刺す
11,consist,成る
11,burst,破裂する、破裂させる
11,sigh,ため息をつく
11,chew,噛む
11,bark,（犬などが）吠える
11,surf,（ネットを）見て回る、サーフィンをする
11,Can I try it on?,試着してもいいですか？
11,May I speak to ...?,（電話で）〜をお願いしたいのですが
11,"Hold on, please.",（電話で）そのまま切らずにお待ちください
12,cloth,布、生地
12,gate,門
12,island,島
12,diet,ダイエット、食事
12,enemy,敵
12,police,警察
12,speech,演説
12,airport,飛行場
12,headache,頭痛
12,magic,手品、魔法
12,price,値段、価格
12,subway,地下鉄
12,article,物、記事
12,delivery,配達
12,gallery,美術館、画廊
12,novel,小説
12,boots,ブーツ
12,poem,詩
12,accident,事故、偶然
12,tour,旅行
12,schedule,スケジュール、予定
12,result,結果
12,couple,一組、カップル
12,section,区域、部分
12,painting,絵画
12,fun,楽しいこと
12,sale,販売、特売、セール
12,cow,乳牛、雌牛
12,gym,体育館、ジム
12,spider,クモ
12,percent,パーセント
12,seafood,シーフード、海産物
12,photograph,写真
12,raincoat,レインコート
12,score,得点
12,surfing,サーフィン
12,coupon,割引券、クーポン
12,horror,恐怖
12,meal,食事
12,shelf,棚
12,copy machine,コピー機
12,apartment,アパートの一室
12,wedding,結婚、結婚式
12,sunshine,日光、日差し
12,salmon,サケ
12,badminton,バドミントン
12,discount,割引
12,level,水準、レベル
12,principal,校長
12,noise,騒音
12,guidebook,ガイドブック
12,greeting,挨拶
12,honey,あなた（呼びかけ）、はちみつ
12,strawberry,イチゴ
12,announcement,発表
12,suggestion,提案、暗示
12,fee,報酬、授業料、料金、謝礼
12,receipt,レシート、受け取ること
12,tool,道具、用具
12,cooperation,協力
12,reservation,予約
12,backyard,裏庭
12,application form,申し込み用紙
12,movie theater,映画館
12,part-time job,アルバイトの仕事
12,washing machine,洗濯機
12,fireworks,花火
12,feature,特集、特徴、容貌
12,heavy traffic,交通渋滞
12,neighborhood,近所
12,weather report,天気予報
12,parking lot,駐車場
12,information desk,案内所
12,weight,重さ、体重
12,gardening,ガーデニング
12,vitamin,ビタミン剤
12,forest,森
12,business trip,出張
12,science fiction,SF、空想科学小説
12,convenience,便利さ
12,express mail,速達
12,exchange student,交換留学生
12,laptop computer,ノートパソコン
12,membership,会員
12,yoga,ヨガ
12,cotton,綿（わた、めん）
12,stadium,スタジアム、競技場
12,mall,ショッピングモール
12,couch,ソファ
12,backpack,リュックサック
12,refrigerator,冷蔵庫
12,cruise,船旅
12,row,列
12,amateur,アマチュア、素人
12,wool,ウール、羊毛
12,teammate,チームメート
12,lost and found office,遺失物取扱所
12,turtle,ウミガメ
12,temple,寺
12,tropical fish,熱帯魚
12,May I leave a message?,（電話で）伝言をお願いできますか？
12,May I take a message?,伝言をお預かりいたしましょうか？
12,"May I have your name, please?",お名前を伺ってもよろしいですか？
13,famous,有名な
13,kind,親切な
13,quiet,静かな
13,special,特別な
13,various,さまざまな
13,strange,奇妙な、不思議な
13,daily,毎日の
13,medical,医療の、医学の
13,perfect,完全な
13,bright,明るい、頭が良い
13,elderly,年配の
13,local,地元の
13,wrong,間違った
13,unique,独特な、ユニークな、唯一の
13,polite,礼儀正しい
13,real,本当の、実際の
13,deep,深い
13,spicy,ピリッとした
13,crowded,混雑した
13,several,数人の、いくつかの
13,usual,いつもの、普通の
13,fresh,新鮮な
13,boring,つまらない
13,frightened,怯えた、ぎょっとした
13,scary,恐ろしい
13,comfortable,快適な、心地よい
13,favorite,大好きな、一番好きな
13,smart,頭の良い、洒落た
13,dirty,汚い
13,loud,大声の
13,ancient,古代の
13,outdoor,屋外の
13,allergic,アレルギー体質の
13,below,〜より下に
13,unlike,〜と違って
13,lately,最近
13,normally,普通は
13,soon,まもなく
13,far,遠くに
13,pretty,かなり
13,quite,とても、かなり
13,totally,完全に、とても
13,probably,多分
13,unfortunately,残念ながら、不運にも
13,fortunately,幸運にも
13,heavily,重く、激しく
13,inside,内側に、屋内に
13,anymore,これ以上〜ない
13,somewhere,どこかに
13,twice,2回、2度
13,Speaking.,（電話で）こちらは〜です
13,You have the wrong number.,（電話で）番号を間違えています
13,Of course.,もちろん
14,be pleased with,〜に満足している
14,get A back from B,BからAを取り戻す
14,have a good time,楽しい時間を過ごす
14,go to bed,寝る
14,come from,〜の出身である / 〜に由来する
14,put on,〜を身につける
14,put away,〜を片付ける
14,make a difference,違いをもたらす
14,ask for,〜を要求する
14,wait for,〜を待つ
14,turn down,〜を断る / 〜を下げる
14,look up,〜を調べる
14,laugh at,〜を笑う
14,be covered with,〜で覆われている
14,cut off,〜を切り離す
14,fall down,倒れる / 転ぶ
14,put up,〜を立てる
14,fall over,倒れる
14,take lesson,〜の授業を受ける
14,work for,〜に勤めている
14,take part in,〜に参加する
14,forget to,〜するのを忘れる
14,get off,〜を降りる
14,wake up,目を覚ます / 〜を起こす
14,eat out,外食する
14,check out,チェックアウトする
14,go out,外出する
14,come back,戻ってくる
14,feel sick,気分が悪い
14,run away,逃げる
14,get exercise,運動する
14,feel like,〜したい気分だ
14,have nothing to do with,〜と全く関係がない
14,make an appointment with,〜の予約をする
14,make a speech,演説をする / スピーチをする
14,raise money,お金を集める
14,make up,仲直りする / 埋め合わせをする
14,be about to,〜するところだ
14,be supposed to,〜することになっている
14,be sure to,必ず〜する
14,be disappointed to,〜してがっかりする
14,be tired of,〜に飽きている
14,have a party,パーティーを開く
14,be good at,〜が得意である
14,be sure of,〜を確信している
14,be busy,〜するのに忙しい
14,be used to,〜することに慣れている
14,be sold out,売り切れている
14,be away,留守にする
14,in shape,体調がいい
14,be on a diet,ダイエットをしている
14,be made from,〜で作られている
14,each other,お互い
14,at least,少なくとも
14,for free,無料で
14,in line,列になって
14,in return for,〜のお返しに
14,on foot,徒歩で
14,at the moment,ちょうど今
14,over and over,何度も
14,right now,今すぐに
14,the day after tomorrow,明後日
14,on one's way home,家に帰る途中で
14,frankly speaking,率直に言うと
14,as far as I know,私の知っている限りでは
14,Shall I,私が〜しましょうか？
14,Can I ask you a question?,質問してもよろしいですか？
14,Can I help you with ...?,〜をお手伝いしましょうか？
14,Can I try it on?,試着してもいいですか？
14,May I speak to ...?,（電話で）〜をお願いしたいのですが
14,"Hold on, please.",（電話で）そのまま切らずにお待ちください
14,May I leave a message?,（電話で）伝言をお願いできますか？
14,May I take a message?,伝言をお預かりいたしましょうか？
14,"May I have your name, please?",お名前を伺ってもよろしいですか？
14,Speaking.,（電話で）こちらは〜です
14,You have the wrong number.,（電話で）番号を間違えています
14,Of course.,もちろん
14,I'm afraid SV,SVだと思います / あいにくSVする
14,"Your attention, please.",お礼申し上げます
14,Congratulations!,おめでとう！
14,Thanks anyway.,でも、ありがとう
14,I'd love to.,ぜひともそうしたい
14,That's too bad.,それは残念だ
14,Why not?,もちろん
14,Have you ever been to ...?,〜へ行ったことはありますか？
14,Just a minute.,ちょっと待ってください
14,If you like,よろしければ
14,You're welcome to ...,自由に〜してください
14,Welcome to ...,〜へようこそ
14,Come on.,あかゆーな（さあ、おいで）
14,Please feel free to ...,遠慮なく〜してください
14,I'll have a cup of ...,〜を1杯いただきます
